Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2023,5,2,N,LZ_CPS,LZEW,-1.48
01/01/2023,5,3,N,LZ_CPS,LZ,-0.87
01/01/2023,5,3,N,LZ_CPS,LZEW,-0.87
01/01/2023,5,4,N,LZ_CPS,LZ,-0.90
01/01/2023,5,4,N,LZ_CPS,LZEW,-0.90
01/01/2023,5,1,N,LZ_HOUSTON,LZEW,0
01/01/2023,5,1,N,LZ_HOUSTON,LZ,0
01/01/2023,5,2,N,LZ_HOUSTON,LZ,-1.48
01/01/2023,5,2,N,LZ_HOUSTON,LZEW,-1.48
01/01/2023,5,3,N,LZ_HOUSTON,LZ,-0.87
01/01/2023,5,3,N,LZ_HOUSTON,LZEW,-0.87
01/01/2023,5,4,N,LZ_HOUSTON,LZ,-0.90
01/01/2023,5,4,N,LZ_HOUSTON,LZEW,-0.90
01/01/2023,5,1,N,LZ_LCRA,LZ,0
01/01/2023,5,1,N,LZ_LCRA,LZEW,0
01/01/2023,5,2,N,LZ_LCRA,LZ,-1.48
01/01/2023,5,2,N,LZ_LCRA,LZEW,-1.48
01/01/2023,5,3,N,LZ_LCRA,LZ,-0.87
01/01/2023,5,3,N,LZ_LCRA,LZEW,-0.87
01/01/2023,5,4,N,LZ_LCRA,LZ,-0.90
01/01/2023,5,4,N,LZ_LCRA,LZEW,-0.90
01/01/2023,5,1,N,LZ_NORTH,LZ,0
01/01/2023,5,1,N,LZ_NORTH,LZEW,0
01/01/2023,5,2,N,LZ_NORTH,LZ,-1.48
01/01/2023,5,2,N,LZ_NORTH,LZEW,-1.48
01/01/2023,5,3,N,LZ_NORTH,LZ,-0.87
01/01/2023,5,3,N,LZ_NORTH,LZEW,-0.87
01/01/2023,5,4,N,LZ_NORTH,LZ,-0.90
01/01/2023,5,4,N,LZ_NORTH,LZEW,-0.89
01/01/2023,5,1,N,LZ_RAYBN,LZ,0
01/01/2023,5,1,N,LZ_RAYBN,LZEW,0
01/01/2023,5,2,N,LZ_RAYBN,LZ,-1.48
01/01/2023,5,2,N,LZ_RAYBN,LZEW,-1.48
01/01/2023,5,3,N,LZ_RAYBN,LZ,-0.87
01/01/2023,5,3,N,LZ_RAYBN,LZEW,-0.87
01/01/2023,5,4,N,LZ_RAYBN,LZ,-0.90
01/01/2023,5,4,N,LZ_RAYBN,LZEW,-0.90
01/01/2023,5,1,N,LZ_SOUTH,LZ,0
01/01/2023,5,1,N,LZ_SOUTH,LZEW,0
01/01/2023,5,2,N,LZ_SOUTH,LZ,-1.48
01/01/2023,5,2,N,LZ_SOUTH,LZEW,-1.48
01/01/2023,5,3,N,LZ_SOUTH,LZEW,-0.87
01/01/2023,5,3,N,LZ_SOUTH,LZ,-0.87
